employee_id,department,hire_date,leave_date,salary,performance_score,training_hours,satisfaction_score,age,gender,education
EMP0001,Sales,2018-04-13,,13024,3.7,86,5.0,27,F,Bachelor
EMP0002,Technology,2019-01-19,2022-05-17,24726,4.0,83,3.9,48,M,High School
EMP0003,Marketing,2018-01-27,,10231,3.3,19,3.0,35,F,Bachelor
EMP0004,Sales,2022-04-06,2024-09-06,24782,3.5,58,4.1,29,F,Bachelor
EMP0005,Marketing,2022-01-21,,28087,4.6,98,4.4,40,M,Master
EMP0006,Sales,2022-04-06,,25830,3.7,45,3.3,35,F,Bachelor
EMP0007,HR,2023-12-28,,10354,2.9,118,4.0,36,F,Bachelor
EMP0008,Finance,2018-05-12,,18145,3.4,120,4.4,42,M,High School
EMP0009,Legal,2023-02-23,2024-06-02,13081,3.5,95,2.7,49,F,PhD
EMP0010,Finance,2019-07-21,,7978,3.6,19,2.0,32,F,Bachelor
EMP0011,Legal,2022-04-13,,20337,1.4,110,3.4,22,M,PhD
EMP0012,Operations,2019-04-02,,10182,1.6,112,4.4,38,M,Bachelor
EMP0013,Marketing,2023-09-11,,10008,3.2,99,4.2,55,M,PhD
EMP0014,R&D,2018-03-21,2020-09-29,15076,3.5,72,4.5,27,M,High School
EMP0015,Sales,2023-12-22,,9207,2.5,21,2.0,38,F,Master
EMP0016,Finance,2021-06-30,,27009,3.0,66,3.0,50,M,Master
EMP0017,Finance,2018-09-20,,24277,2.5,0,3.4,26,M,Master
EMP0018,Sales,2018-05-09,,7321,2.9,62,3.7,35,M,High School
EMP0019,Finance,2023-04-22,,11239,4.5,45,4.5,49,F,High School
EMP0020,Technology,2019-02-08,2021-07-01,8580,3.5,57,4.4,30,F,Master
EMP0021,Marketing,2023-03-10,2024-02-07,19520,4.1,12,2.1,25,M,Bachelor
EMP0022,Finance,2019-11-13,,20773,3.7,7,4.7,32,F,Bachelor
EMP0023,Legal,2020-12-22,,19909,3.2,93,5.0,53,M,Master
EMP0024,Marketing,2020-06-10,,23978,3.5,40,3.5,25,M,High School
EMP0025,HR,2018-08-21,,7625,3.7,8,3.5,37,F,Bachelor
EMP0026,Finance,2024-06-29,,25295,4.5,72,4.4,55,F,PhD
EMP0027,Finance,2021-07-10,2024-03-26,9288,3.2,40,3.1,26,M,High School
EMP0028,Sales,2018-10-28,,21576,3.3,112,5.0,26,M,PhD
EMP0029,Marketing,2019-10-09,,22800,3.2,103,2.6,55,M,PhD
EMP0030,Sales,2019-07-05,,8507,3.5,36,3.3,35,F,Master
