employee_id,uwes_1,uwes_2,uwes_3,uwes_4,uwes_5,uwes_6,uwes_7,uwes_8,uwes_9,pls_1,pls_2,pls_3,pls_4,pls_5,pls_6,pls_7,lmx_1,lmx_2,lmx_3,lmx_4,lmx_5,lmx_6,lmx_7
EMP0500,3,3,4,5,3,3,4,4,3,3,2,4,3,3,3,2,5,5,5,5,5,5,5
EMP0301,3,3,6,3,3,4,3,3,4,3,3,4,2,2,3,4,4,4,3,3,3,4,3
EMP0406,5,6,5,4,5,6,4,4,5,4,3,5,4,4,3,3,4,4,5,5,5,4,4
EMP0084,3,2,4,3,4,3,4,4,3,4,4,3,2,2,3,3,4,4,3,3,4,3,4
EMP0181,4,3,4,3,4,4,4,4,5,5,3,3,3,4,3,4,5,5,5,5,4,4,5
EMP0419,2,0,0,1,1,1,0,2,2,3,4,5,2,4,3,3,3,3,3,3,2,2,3
EMP0023,6,6,4,6,5,6,5,5,6,4,5,5,5,5,5,4,3,3,3,4,4,3,5
EMP0276,6,6,5,6,5,6,5,6,6,3,4,5,4,5,5,5,3,3,3,3,3,2,3
EMP0234,3,4,3,3,3,3,3,5,4,2,3,4,2,2,1,2,4,4,5,5,5,4,4
EMP0500,5,5,4,4,5,3,4,4,3,2,4,3,3,2,4,4,5,5,5,4,5,5,4
EMP0426,6,6,6,5,5,5,5,6,6,3,4,5,3,4,3,5,2,2,2,2,2,2,2
EMP0236,5,4,4,5,4,4,5,4,6,2,2,2,2,3,3,3,4,3,4,4,3,4,4
EMP0066,4,5,4,5,4,5,5,4,5,3,3,2,3,3,3,4,5,4,5,4,4,4,5
EMP0302,5,4,5,6,6,5,5,4,5,3,3,5,3,4,3,3,4,4,5,3,4,3,3
EMP0368,4,4,5,5,3,5,6,4,4,3,3,4,3,4,3,4,4,4,3,4,4,5,4
EMP0240,5,4,2,5,3,4,4,4,5,5,4,2,3,4,4,3,4,4,4,4,4,4,4
EMP0015,6,3,4,3,5,5,4,4,5,3,4,5,5,4,5,4,5,5,4,4,5,5,5
EMP0483,4,5,6,5,5,5,4,5,4,3,2,3,3,4,3,2,3,4,4,4,4,3,4
EMP0029,3,4,3,2,3,4,2,4,3,2,5,3,2,2,2,2,2,3,4,3,4,3,4
EMP0063,3,3,3,5,3,4,3,4,3,4,3,4,3,4,2,2,4,4,3,4,3,3,4
EMP0471,4,5,4,4,6,5,4,5,5,5,4,4,5,5,4,4,4,3,4,5,3,5,4
EMP0406,5,6,5,6,6,5,6,6,6,3,3,2,3,3,2,3,4,3,4,4,4,3,3
EMP0077,5,5,5,5,4,6,5,5,5,3,4,3,3,4,4,4,1,2,2,1,2,2,2
EMP0135,5,4,5,4,4,3,4,5,4,4,3,4,4,4,5,4,3,2,3,3,2,3,3
EMP0259,3,3,4,4,3,3,3,1,3,4,4,5,4,4,4,4,4,5,4,5,5,4,4
EMP0136,3,3,4,1,3,1,2,2,2,4,4,4,4,4,5,4,3,4,3,3,3,3,3
EMP0179,6,6,6,5,6,6,5,4,5,2,2,2,2,1,2,2,3,3,4,4,3,3,3
EMP0426,3,3,3,3,3,5,4,2,4,5,5,5,5,5,5,5,3,4,4,4,4,4,3
EMP0011,4,5,4,4,3,5,5,3,5,4,4,4,3,2,2,3,3,2,3,3,2,2,3
EMP0021,1,0,0,0,0,0,1,2,1,5,4,5,5,4,5,5,3,3,3,2,3,2,3
EMP0417,5,5,4,5,5,4,4,4,4,4,3,4,4,3,4,5,4,4,5,3,4,5,5
EMP0003,4,3,3,3,5,4,3,3,5,2,3,2,3,2,3,3,4,4,4,4,4,4,5
EMP0440,4,4,5,4,4,4,5,4,2,2,1,2,1,1,2,2,2,4,3,3,2,3,3
EMP0250,3,3,1,4,2,3,3,4,3,3,2,2,3,3,2,2,3,3,3,3,4,3,3
EMP0472,1,2,2,2,3,4,2,2,1,3,4,3,4,5,4,4,5,5,4,5,4,4,4
EMP0010,4,3,3,4,3,4,3,4,4,2,4,2,3,2,1,2,4,5,5,5,5,5,4
EMP0387,5,3,4,6,4,5,5,3,3,4,4,5,3,4,5,4,4,4,3,3,4,4,4
EMP0175,4,4,5,3,4,4,5,2,4,5,5,3,5,4,4,3,3,2,2,3,3,2,3
